,Website,myDns,Dns,GoogleDns
1,google.com,59.25390720367432,16.97535514831543,15.859413146972656
2,youtube.com,59.993839263916016,20.706844329833984,19.32024955749512
3,tmall.com,114.8061752319336,98.53765964508057,12.57321834564209
4,baidu.com,313.64941596984863,9.53233242034912,9.740328788757324
5,sohu.com,296.4024782180786,228.1010627746582,129.0454626083374
6,facebook.com,50.18463134765625,18.451452255249023,9.988069534301758
7,taobao.com,115.37094116210938,148.4666109085083,23.017311096191406
8,jd.com,632.3941707611084,14.92762565612793,11.034440994262695
9,amazon.com,308.7129592895508,10.611605644226074,10.40489673614502
10,yahoo.com,55.46708106994629,13.157963752746582,11.451363563537598
11,wikipedia.org,82.59420394897461,16.920089721679688,17.791080474853516
12,weibo.com,330.3263187408447,154.1776180267334,147.9635238647461
13,sina.com.cn,500.2588033676148,83.1671953201294,165.84877967834473
14,zoom.us,139.26331996917725,20.903587341308597,21.849560737609863
15,xinhuanet.com,997.502827644348,12.102985382080078,11.048531532287598
16,live.com,57.95319080352783,10.13648509979248,10.005617141723633
17,netflix.com,64.6932601928711,23.02408218383789,20.11144161224365
18,reddit.com,66.62437915802002,10.680007934570312,12.33823299407959
19,microsoft.com,54.471540451049805,10.898256301879885,15.114712715148926
20,instagram.com,67.3663854598999,9.258008003234863,9.15241241455078
21,office.com,54.37774658203125,11.121511459350586,8.683633804321289
22,google.com.hk,357.0003032684326,20.534205436706543,17.01219081878662
23,linkedin.com,104.88061904907228,16.95120334625244,19.69773769378662
24,canva.com,47.90658950805664,18.63713264465332,20.584750175476078
25,adobe.com,131.01606369018555,33.74176025390625,19.403743743896484
